query,intent
my direct reports ?,people
who are my direct reports,people
who are the direct reports of Ankit Gupta?,people
who is under Raghuram Nimishakavi Venkata's supervision?,people
who works directly under Chris Leung?,people
can you tell me which team members report to Jason Masten?,people
do you know who reports to Brandon Ruf?,people
could you let me know who answers to Enumula Reddy?,people
could you provide a list of individuals who report to Ayush Sharma?,people
who falls under the reporting line of Aishma Gupta?,people
what is the reporting structure under Ruhi Mirza?,people
who does Abhi Verma manage directly?,people
who does Arun Cherian oversee in their department?,people
who are Matt Coffey's subordinates?,people
who are the direct reports of Ankit Prakash in Firozabad?,people
who reports to Jake Trabant in Ulhasnagar?,people
can you tell me which team members report to Tanvi Singh in Bhavnagar?,people
do you know who reports to Paul Traore in Uttar Pradesh?,people
could you let me know who answers to Sanjay Wadge in Ranchi?,people
could you provide a list of individuals who report to Linda Timmons in Rajasthan?,people
who falls under the reporting line of Somto Idigo in Kalyan-Dombivali?,people
what is the reporting structure under Nick Wort in Nellore?,people
who does Kashyap Thacker manage directly in Dhanbad?,people
who does Aashish Narang Cust oversee in their department in Aligarh?,people
who are Achintya Shankhdhar's subordinates in Jammu?,people
who reports to Varun Pant in Akola?,people
team members under Digital CS in Varanasi?,people
who in Kota reports to Amelia Rose Kaderabek?,people
list of people under Divyansh Kumar in Pimpri-Chinchwad?,people
direct reports for Suraj Sharma in Agra?,people
Priyanka Sarkar manages who in Maharashtra?,people
who works for Vibhu Mishra in Kota?,people
Deepak Rawat's team in Punjab?,people
subordinates of Chae Stewart in Rajkot?,people
reporting to Pragya Dadhich in Kalyan-Dombivali?,people
Brian Ball reports Ambattur?,people
who under Krishan Kant Soni in Andhra Pradesh?,people
Austin Lemler team Maharashtra?,people
Aman Rai people Siliguri?,people
reports Diksha Bahuguna Haryana?,people
managed by Himanshu Rana in Maharashtra?,people
Chris Campbell subordinates West Bengal?,people
Twinkle Tiwari workers Kochi?,people
under Nikunj Aggarwal Ghaziabad?,people
team Shubham Taneja Karnataka?,people
Deepak Soni reports Tiruchirappalli?,people
who under Somna Bhardwaj in Jharkhand?,people
reports Bettelee Lambeth Uttar Pradesh?,people
who under John Tauzin?,people
Raman Kumar team?,people
Vidya Pichu people?,people
reports Sahil Kaushik?,people
managed by Amiya Lenka?,people
Mark Rabey subordinates?,people
Kay Lim workers?,people
under Aishma Gupta?,people
team Rishiraj Biswas?,people
who reports to Peeyush Verma?,people
team of Amelia Rose Kaderabek?,people
reports of Anjali Chauhan?,people
who does Allen Liang manage?,people
who works under Jamie Thompson?,people
subordinates of Divya Agrawal?,people
team under Dwight Thompson?,people
direct reports of Melissa Hewitt?,people
who does Lakshmi Joshi lead?,people
who does Brandon Chong oversee?,people
staff of Matt Shea?,people
who is in team of Samiksha Rana?,people
reports for Deepanshu Singhal?,people
reporting line of Don Wight?,people
org below Aimee Abel?,people
who is below Suraj Sharma?,people
juniors of Jordan Katz?,people
direct reports for Santosh Kumar?,people
who answers to Asmita Patidar?,people
hierarchy of Ayushi Singh?,people
who works for Brendan Ballintine?,people
department staff of Aman Rai?,people
reportees of Priyamvada Bhardwaj?,people
org chart of Darien Ngo?,people
who is managed by Manu Bhardwaj?,people
crew of Matt Shea?,people
associates of Tirumala Vasamsetty?,people
staff under Raghuram Nimishakavi Venkata?,people
assistants of Mike Boring?,people
who does Gil Blustein direct?,people
people under Krystal McCann?,people
people of Anirudh R?,people
junior staff of Josh Witty?,people
who belongs to team of Priyanshi Thakur?,people
who works with Ruhi Mirza as report?,people
office team of Vishvajeet Singh?,people
who are team members of Patrick Kilcommons?,people
who falls under Candace Hartman?,people
chain of command for Aayushi Singh?,people
org tree of Jane Manager?,people
who comes under Yash Aggarwal?,people
line reports of Sahil Tyagi?,people
downstream of Udayraj Sathe?,people
who does Phil Lacorte supervise?,people
branch staff of Jane Manager?,people
who works directly under Ankit Gupta?,people
working team of Keara Brosnan?,people
who is guided by Amal Kumar Bharali?,people
support staff of Nirmal Kumat?,people
operating team of Sync Marketo?,people
who does Mukund Ramachandran oversee?,people
lower level of Kristen Best?,people
inner team of Gary Sevounts?,people
who is managed by Kaweesak Boonyapornnad?,people
who does Mike McDermott handle?,people
immediate team of Helen Oleksiv?,people
who does Santosh Kumar lead?,people
who is part of unit of Bala Arun Reddy Vatti?,people
team members list of Jack Berry?,people
who reports upward to Ian Martin?,people
who reports to Reshab Vaigankar in Visakhapatnam?,people
team of Shalvi Johari in Rajasthan?,people
reports of SK Manoharan in Hyderabad?,people
who does Arihant Jain manage in Uttar Pradesh?,people
who works under Daniel Kim in Gwalior?,people
subordinates of Justin Pena in Punjab?,people
team under Jeanne Mickey in Gwalior?,people
direct reports of Keara Brosnan in Firozabad?,people
who does Faiz Kamran lead in Bikaner?,people
who does Harsh Dubey oversee in Karnataka?,people
staff of Somna Bhardwaj in Rajasthan?,people
who is in team of Nick Rose in Chhattisgarh?,people
reports for Ankur Arora in Rajasthan?,people
reporting line of Celia Madden in Firozabad?,people
org below Rajan Talwar in Kalyan-Dombivali?,people
who is below Pinku Kumar in Vijayawada?,people
juniors of Jeri Feng in Kozhikode?,people
direct reports for Robert Pearson in Uttarakhand?,people
who answers to Chirag Arora in Patiala?,people
hierarchy of Nitin Jain in Karnataka?,people
who works for Bala Kasiviswanathan in Tamil Nadu?,people
department staff of Mike Villett in Mysore?,people
reportees of Sai Varma in Sangli-Miraj and Kupwad?,people
org chart of Sanjay Wadge in Madurai?,people
who is managed by Sahil Tyagi in Maheshtala?,people
crew of Vijai Shankar in Gulbarga?,people
associates of Ankit Prakash in Rajpur Sonarpur?,people
staff under Candace Hartman in Kanpur?,people
assistants of Jason Morris in Bihar?,people
who does Mohammad Zaid direct in Jammu?,people
people under Sahil Tyagi in Madhya Pradesh?,people
people of Fay Karchagani in Haryana?,people
junior staff of Udayraj Sathe in Karnataka?,people
who belongs to team of Alok Kumar in Chhattisgarh?,people
office team of Christina Monson in Maharashtra?,people
who are team members of Carolyn Clark in Ajmer?,people
who falls under Tanya Chawla in Tirupur?,people
chain of command for Rahul Verma in Uttar Pradesh?,people
org tree of Austin Lemler in Ambattur?,people
who comes under Krati Singhal in Karnataka?,people
line reports of Harsh Dubey in Pune?,people
downstream of Andre Gerard in Moradabad?,people
who does John Ennis supervise in Uttar Pradesh?,people
branch staff of Harsh Verma in Gujarat?,people
who works directly under Sanjay Wadge in Maharashtra?,people
working team of Sean Coleman in Maharashtra?,people
who is guided by Rahul Verma in Kerala?,people
support staff of Aashish Narang Cust in Jammu?,people
operating team of Tarun Singh in Kolkata?,people
who does Parinay Prateek oversee in Firozabad?,people
lower level of Ankur Gupta in Thiruvananthapuram?,people
inner team of Shivani Chauhan in Chandigarh?,people
who is managed by Priyanka Sarkar in Aligarh?,people
who does Ben Elder handle in Lucknow?,people
immediate team of Rishiraj Biswas in Vijayawada?,people
who does Keara Brosnan lead in Chhattisgarh?,people
who is part of unit of Andrei Zhukov in Maharashtra?,people
team members list of Kleavin Howatt in Raipur?,people
who reports upward to Mahima Varshney in Maharashtra?,people
team under Kay Dugger in Tripura?,people
my manager?,people
who is my manager ?,people
who is Abhishek Saini manager?,people
who is Vishal Sharma's supervisor?,people
can you tell me who manages Deepak Soni?,people
who is in charge of Randy Womack?,people
who does Siddharth Sharma report to?,people
i'd like to know Aaron Levermann's team leader; who is it?,people
who oversees Anjana Menon?,people
who is Makenzie Shaw's boss?,people
who is ritankar Paul's department head?,people
can you provide the name of Bharat Madaan's manager?,people
who is responsible for Harleen Mehta?,people
who's Srinija Jilla's boss?,people
Brendan Patterson's manager?,people
who handles Nick Perdomo?,people
Melanie Okada's supervisor?,people
who's in charge of Prince Gola?,people
who's Rohit Kumar answer to?,people
Robert Strohmeyer's head?,people
who's above Brad Jager?,people
Adam Laker's boss name?,people
who's Niyati Jain report to?,people
who's Kay Dugger under?,people
Monica Zhang's lead?,people
in charge of Prasanna Mishra?,people
who manages Andre Gerard?,people
Sourya Kaushik's go-to?,people
point person for Akanksha Kumari?,people
Diksha Bahuguna's overseer?,people
who's Andrew Williamson's higher-up?,people
Anuj Gupta's superior?,people
head honcho for Parinay Prateek?,people
"Adil Shamim's boss, who?",people
manager of Shubham Jain?,people
Asmita Patidar reports to who?,people
supervisor for Noah Smithson?,people
Anjana Menon's chief?,people
overseer of Charan B?,people
who heads Douglas Fehrmann II?,people
Abhi Verma's managing person?,people
John Ennis works for who?,people
who manages Ana Ajzele?,people
who is the boss of Brendan Ballintine?,people
who does Rana Singh report to?,people
direct manager of Dawn Farhi?,people
line manager for Ankit Prakash?,people
